Country ,# of Subscribers - 2019,# of Subscribers - Q1 2020,Average Monthly Revenue per Paying Membership - Q1 2020 ($),Q1 2020 Revenue ($),# of Subscribers Q2 2020 ,Average Monthly Revenue per Paying Membership - Q2 2020 ($),Q2 2020 Revenue $ ,# of Subscribers Q3 2020 (Estimate),Q3 2020 Revenue $ (Estimate),,,Source,,,,
United States,"61,043,000","63,124,566",13.09,"2,478,901,719","65,769,486",13.25,"2,614,337,054","66,621,642","2,648,210,287",,,http://d18rn0p25nwr6d.cloudfront.net/CIK-0001065280/4b247013-f3f1-4881-92d2-13088d2bd8d7.pdf,"61,043,000 ""domestic"" clients at the end of 2019. 67,662,000 in the US and Canada at the end of 2019 to give us Canada",,,
Brazil,"15,000,000","16,384,500",8.05,"395,685,675","17,220,110",7.44,"384,352,844","17,443,226","389,332,796",,,https://natelinha.uol.com.br/mercado/2020/01/29/netflix-cresce-beira-os-15-milhoes-de-assinantes-e-quase-iguala-tv-paga-140051.php,Q1 2020 ,,,
United Kingdom,"13,010,000","14,757,243",10.40,"460,425,982","15,447,882",10.50,"486,608,282","15,648,036","492,913,129",,,https://www.barb.co.uk/tv-landscape-reports/tracker-svod/,Q1 2020,,,
Mexico,"6,783,000","7,409,071",8.05,"178,929,062","7,786,934",7.44,"173,804,356","7,887,827","176,056,290",,,https://www.eleconomista.com.mx/empresas/Mexico-cerro-el-2019-con-mas-de-10-millones-de-cuentas-OTT-pagadas-20200122-0052.html,Sept 2019,,,
France,"6,700,000","7,599,810",10.40,"237,114,072","7,955,481",10.50,"250,597,655","8,058,558","253,844,579",,,https://advanced-television.com/2020/01/17/france-netflix-has-6-7m-subs/,Jan 2020,,,
Canada,"6,619,000","6,844,708",13.09,"268,791,679","7,131,501",13.25,"283,477,171","7,223,902","287,150,105",,,http://d18rn0p25nwr6d.cloudfront.net/CIK-0001065280/4b247013-f3f1-4881-92d2-13088d2bd8d7.pdf,"61,043,000 ""domestic"" clients at the end of 2019. 67,662,000 in the US and Canada at the end of 2019 to give us Canada",,,
Germany,"6,400,000","7,259,520",10.40,"226,497,024","7,599,266",10.50,"239,376,864","7,697,727","242,478,403",,,https://www.deraktionaer.de/artikel/medien-ittk-technologie/netflix-so-einfach-kommt-man-zu-neukunden--20200639.html,6.4m (Apr 2020),,,
Australia,"4,900,000","5,987,310",8.94,"160,579,654","6,789,610",8.96,"182,504,704","6,877,581","184,869,367",,,https://www.telsyte.com.au/announcements/2019/8/19/svod-feeds-australians-insatiable-appetite-for-streaming-content-ybrdk,Aug 2019,,,
Argentina ,"4,500,000","4,915,350",8.05,"118,705,703","5,166,033",7.44,"115,305,853","5,232,968","116,799,839",,,https://www.clarin.com/tecnologia/argentina-10-paises-suscriptores-netflix-mundo_0_gqaLXSjU.html,Feb 2020,Came from Reed Hastings,,
Spain,"3,000,000","3,402,900",10.40,"106,170,480","3,562,156",10.50,"112,207,905","3,608,310","113,661,752",,,https://www.elespanol.com/economia/medios/20191122/netflix-aprovecha-regulatorio-segunda-television-telefonica-espana/446206253_0.html,Nov 2019,,,
