Country,Continent,Total Titles Available on Netflix,Avg. Metacritic Critics Score
United States,North America,5879,62.9
Canada,North America,5730,61.4
United Kingdom,Europe,5673,61.7
India,Asia,5591,63.8
Australia,Australasia,5349,62.2
Ireland,Europe,5246,61.6
Slovakia,Europe,5077,63.4
Japan,Asia,5065,63.1
Czech Republic,Europe,5064,63.4
Hungary,Europe,5062,63.2
South Africa,Africa,4987,62.7
Philippines,Asia,4913,63.1
Russia,Europe,4898,64.9
Malaysia,Asia,4898,63.0
Thailand,Asia,4864,62.9
Lithuania,Europe,4841,64.5
Iceland,Europe,4781,64.2
Singapore,Asia,4768,63.3
Romania,Europe,4686,63.0
Indonesia,Asia,4684,63.3
Croatia,Europe,4652,63.7
Ukraine,Europe,4640,65.3
New Zealand,Australasia,4635,62.7
Kenya,Africa,4612,63.1
Switzerland,Europe,4593,61.6
Latvia,Europe,4577,64.8
Luxembourg,Europe,4534,62.8
Greece,Europe,4438,64.3
Israel,Europe,4393,64.1
Estonia,Europe,4339,64.8
Mexico,North America,4316,63.9
Colombia,South America,4282,64.0
Chile,South America,4281,64.0
Uruguay,South America,4215,64.0
Brazil,South America,4208,63.7
Venezuela,South America,4180,64.0
Belgium,Europe,4121,62.4
Peru,South America,4118,64.0
Guatemala,North America,4117,64.0
Costa Rica,North America,4115,64.0
South Korea,Asia,4065,64.5
Germany,Europe,3995,62.9
France,Europe,3978,63.6
Austria,Europe,3878,63.1
Hong Kong,Asia,3861,63.2
Slovenia,Europe,3798,63.7
Netherlands,Europe,3655,62.6
Taiwan,Asia,3611,63.3
Bolivia,South America,3607,64.0
Sweden,Europe,3579,63.4
Italy,Europe,3526,63.7
Denmark,Europe,3525,63.6
Spain,Europe,3522,64.3
Ecuador,South America,3470,64.0
Poland,Europe,3398,64.0
Finland,Europe,3349,63.6
Norway,Europe,3203,63.6
Portugal,Europe,3142,64.9
Argentina,South America,3034,63.5
UAE,Asia,2906,64.3
Turkey,Asia,2812,62.6
Egypt,Africa,2494,64.3
Serbia,Europe,2339,63.7
Bulgaria,Europe,2250,64.1
Albania,Europe,2242,64.1
Bahamas,North America,2234,64.0
Panama,North America,2234,64.0
Moldova,Europe,2145,65.0
Azerbaijan,Europe,2117,65.3
Georgia,Europe,2116,65.2
